Statistical profiling result from sin_console-v8.log, (6386 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:107:67
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:105:84

 [C++]:
   ticks  total  nonlib   name
    256    4.0%   16.9%  __write@@GLIBC_2.2.5
    213    3.3%   14.0%  pthread_cond_signal@@GLIBC_2.3.2
    154    2.4%   10.1%  fwrite@@GLIBC_2.2.5
    125    2.0%    8.2%  epoll_pwait@@GLIBC_2.6
     45    0.7%    3.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     38    0.6%    2.5%  __libc_malloc@@GLIBC_2.2.5
     35    0.5%    2.3%  syscall@@GLIBC_2.2.5
     35    0.5%    2.3%  __read@@GLIBC_2.2.5
     32    0.5%    2.1%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
     25    0.4%    1.6%  _IO_file_xsputn@@GLIBC_2.2.5
     16    0.3%    1.1%  cfree@GLIBC_2.2.5
     16    0.3%    1.1%  __mprotect@@GLIBC_PRIVATE
     12    0.2%    0.8%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
     10    0.2%    0.7%  __open@@GLIBC_2.2.5
      7    0.1%    0.5%  operator new(unsigned long)@@GLIBCXX_3.4
      6    0.1%    0.4%  writev@@GLIBC_2.2.5
      6    0.1%    0.4%  __pthread_mutex_unlock@GLIBC_2.2.5
      6    0.1%    0.4%  __munmap@@GLIBC_PRIVATE
      5    0.1%    0.3%  operator delete(void*)@@GLIBCXX_3.4
      5    0.1%    0.3%  __pthread_mutex_lock@GLIBC_2.2.5
      5    0.1%    0.3%  __clock_gettime@@GLIBC_PRIVATE
      4    0.1%    0.3%  fputc@@GLIBC_2.2.5
      4    0.1%    0.3%  __mmap@@GLIBC_PRIVATE
      3    0.0%    0.2%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      3    0.0%    0.2%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      3    0.0%    0.2%  operator new[](unsigned long)@@GLIBCXX_3.4
      3    0.0%    0.2%  __close_nocancel@@GLIBC_PRIVATE
      2    0.0%    0.1%  std::__detail::_List_node_base::_M_hook(std::__detail::_List_node_base*)@@GLIBCXX_3.4.15
      2    0.0%    0.1%  operator delete[](void*)@@GLIBCXX_3.4
      2    0.0%    0.1%  fstatat@@GLIBC_2.33
      2    0.0%    0.1%  fflush@@GLIBC_2.2.5
      2    0.0%    0.1%  __pthread_rwlock_wrlock@GLIBC_2.2.5
      2    0.0%    0.1%  __pthread_rwlock_unlock@GLIBC_2.2.5
      2    0.0%    0.1%  _IO_setb@@GLIBC_2.2.5
      2    0.0%    0.1%  _IO_do_write@@GLIBC_2.2.5
      1    0.0%    0.1%  std::string::_Rep::_S_create(unsigned long, unsigned long, std::allocator<char> const&)@@GLIBCXX_3.4
      1    0.0%    0.1%  std::ostream::put(char)@@GLIBCXX_3.4
      1    0.0%    0.1%  std::ostream::flush()@@GLIBCXX_3.4
      1    0.0%    0.1%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      1    0.0%    0.1%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const@@GLIBCXX_3.4.18
      1    0.0%    0.1%  sigaddset@@GLIBC_2.2.5
      1    0.0%    0.1%  shutdown@@GLIBC_2.2.5
      1    0.0%    0.1%  llseek@GLIBC_2.2.5
      1    0.0%    0.1%  fdopen@@GLIBC_2.2.5
      1    0.0%    0.1%  accept4@@GLIBC_2.10
      1    0.0%    0.1%  __vsnprintf@@GLIBC_2.2.5
      1    0.0%    0.1%  __madvise@@GLIBC_PRIVATE
      1    0.0%    0.1%  __getpid@@GLIBC_2.2.5
      1    0.0%    0.1%  __errno_location@@GLIBC_2.2.5
      1    0.0%    0.1%  _IO_file_read@@GLIBC_2.2.5
      1    0.0%    0.1%  _IO_default_xsputn@@GLIBC_2.2.5

 [Summary]:
   ticks  total  nonlib   name
    408    6.4%   26.9%  JavaScript
   1104   17.3%   72.7%  C++
    231    3.6%   15.2%  GC
   4868   76.2%          Shared libraries
      6    0.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    235   26.2%    3.7%  __write@@GLIBC_2.2.5
    199   22.2%    3.1%  pthread_cond_signal@@GLIBC_2.3.2
    150   16.7%    2.3%  fwrite@@GLIBC_2.2.5
     43    4.8%    0.7%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     36    4.0%    0.6%  __libc_malloc@@GLIBC_2.2.5
     35    3.9%    0.5%  syscall@@GLIBC_2.2.5
     32    3.6%    0.5%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
     29    3.2%    0.5%  __read@@GLIBC_2.2.5
     24    2.7%    0.4%  _IO_file_xsputn@@GLIBC_2.2.5
     12    1.3%    0.2%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
     11    1.2%    0.2%  cfree@GLIBC_2.2.5
     11    1.2%    0.2%  __mprotect@@GLIBC_PRIVATE
     10    1.1%    0.2%  __open@@GLIBC_2.2.5
      6    0.7%    0.1%  writev@@GLIBC_2.2.5
      6    0.7%    0.1%  operator new(unsigned long)@@GLIBCXX_3.4
      6    0.7%    0.1%  __pthread_mutex_unlock@GLIBC_2.2.5
      5    0.6%    0.1%  __pthread_mutex_lock@GLIBC_2.2.5
      4    0.4%    0.1%  operator delete(void*)@@GLIBCXX_3.4
      4    0.4%    0.1%  __clock_gettime@@GLIBC_PRIVATE
      3    0.3%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      3    0.3%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      3    0.3%    0.0%  operator new[](unsigned long)@@GLIBCXX_3.4
      3    0.3%    0.0%  fputc@@GLIBC_2.2.5
