Statistical profiling result from result_sin_console-v8.log, (7248 ticks, 5 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  Function: ^header /home/rdonaire/Desktop/backend/node_modules/express/lib/response.js:777:29
      1    0.0%    0.1%  Function: ^getSession /home/rdonaire/Desktop/backend/node_modules/express-session/session/memory.js:164:20
      1    0.0%    0.1%  Function: ^getObserverType node:internal/perf/observe:116:25
      1    0.0%    0.1%  Function: ^get node:internal/streams/writable:787:8
      1    0.0%    0.1%  Function: ^get expires /home/rdonaire/Desktop/backend/node_modules/express-session/session/cookie.js:72:14
      1    0.0%    0.1%  Function: ^generateList /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      1    0.0%    0.1%  Function: ^fulfilled /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:21:27
      1    0.0%    0.1%  Function: ^forEachMimeType /home/rdonaire/Desktop/backend/node_modules/mime-types/index.js:158:52
      1    0.0%    0.1%  Function: ^finish /home/rdonaire/Desktop/backend/node_modules/glob/common.js:122:17
      1    0.0%    0.1%  Function: ^extname node:path:1385:10
      1    0.0%    0.1%  Function: ^emit node:events:475:44
      1    0.0%    0.1%  Function: ^each /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:91:22
      1    0.0%    0.1%  Function: ^dispatch /home/rdonaire/Desktop/backend/node_modules/express/lib/router/route.js:98:45
      1    0.0%    0.1%  Function: ^defaultTriggerAsyncIdScope node:internal/async_hooks:456:36
      1    0.0%    0.1%  Function: ^createNewLookupObject /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/internal/create-new-lookup-object.js:15:31
      1    0.0%    0.1%  Function: ^configForCategory /home/rdonaire/Desktop/backend/node_modules/log4js/lib/categories.js:174:27
      1    0.0%    0.1%  Function: ^compileChildren /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:805:44
      1    0.0%    0.1%  Function: ^callback node:internal/streams/writable:550:44
      1    0.0%    0.1%  Function: ^appendToBuffer /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:42:42
      1    0.0%    0.1%  Function: ^allocate node:buffer:398:18
      1    0.0%    0.1%  Function: ^afterWriteDispatched node:internal/stream_base_commons:155:30
      1    0.0%    0.1%  Function: ^addZero /home/rdonaire/Desktop/backend/node_modules/date-format/lib/index.js:11:17
      1    0.0%    0.1%  Function: ^_write node:internal/streams/writable:283:16
      1    0.0%    0.1%  Function: ^_unrefTimer node:net:431:52
      1    0.0%    0.1%  Function: ^__generator /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:27:58
      1    0.0%    0.1%  Function: ^Stats node:internal/fs/utils:496:15
      1    0.0%    0.1%  Function: ^SourceNode_walk /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:221:53
      1    0.0%    0.1%  Function: ^PathExpression /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:289:42
      1    0.0%    0.1%  Function: ^Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      1    0.0%    0.1%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.1%  Function: ^Glob._readdirError /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:581:41
      1    0.0%    0.1%  Function: ^Glob._processReaddir2 /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:375:44
      1    0.0%    0.1%  Function: ^Glob._processGlobStar2 /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:631:45
      1    0.0%    0.1%  Function: ^<anonymous> node:internal/validators:73:3
      1    0.0%    0.1%  Function: ^<anonymous> node:internal/validators:236:42
      1    0.0%    0.1%  Function: ^<anonymous> :1:1
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/server.js:144:18
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:505:34

 [C++]:
   ticks  total  nonlib   name
    274    3.8%   17.0%  __write@@GLIBC_2.2.5
    169    2.3%   10.5%  pthread_cond_signal@@GLIBC_2.3.2
    145    2.0%    9.0%  fwrite@@GLIBC_2.2.5
    137    1.9%    8.5%  epoll_pwait@@GLIBC_2.6
     52    0.7%    3.2%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     46    0.6%    2.9%  __read@@GLIBC_2.2.5
     39    0.5%    2.4%  syscall@@GLIBC_2.2.5
     27    0.4%    1.7%  __libc_malloc@@GLIBC_2.2.5
     27    0.4%    1.7%  _IO_file_xsputn@@GLIBC_2.2.5
     21    0.3%    1.3%  __mprotect@@GLIBC_PRIVATE
     18    0.2%    1.1%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
     18    0.2%    1.1%  __open@@GLIBC_2.2.5
     12    0.2%    0.7%  __pthread_mutex_lock@GLIBC_2.2.5
     11    0.2%    0.7%  __munmap@@GLIBC_PRIVATE
     10    0.1%    0.6%  cfree@GLIBC_2.2.5
      7    0.1%    0.4%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      6    0.1%    0.4%  writev@@GLIBC_2.2.5
      6    0.1%    0.4%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      6    0.1%    0.4%  __pthread_mutex_unlock@GLIBC_2.2.5
      5    0.1%    0.3%  shutdown@@GLIBC_2.2.5
      4    0.1%    0.2%  operator new(unsigned long)@@GLIBCXX_3.4
      3    0.0%    0.2%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      3    0.0%    0.2%  operator delete(void*)@@GLIBCXX_3.4
      3    0.0%    0.2%  __mmap@@GLIBC_PRIVATE
      3    0.0%    0.2%  __errno_location@@GLIBC_2.2.5
      3    0.0%    0.2%  __close_nocancel@@GLIBC_PRIVATE
      2    0.0%    0.1%  std::ostream& std::ostream::_M_insert<unsigned long>(unsigned long)@@GLIBCXX_3.4.9
      2    0.0%    0.1%  std::locale::id::_M_id() const@@GLIBCXX_3.4
      2    0.0%    0.1%  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const@@GLIBCXX_3.4.18
      2    0.0%    0.1%  operator new[](unsigned long)@@GLIBCXX_3.4
      2    0.0%    0.1%  llseek@GLIBC_2.2.5
      2    0.0%    0.1%  getrusage@@GLIBC_2.2.5
      2    0.0%    0.1%  fmod@@GLIBC_2.2.5
      2    0.0%    0.1%  fflush@@GLIBC_2.2.5
      2    0.0%    0.1%  accept4@@GLIBC_2.10
      2    0.0%    0.1%  __vsnprintf@@GLIBC_2.2.5
      2    0.0%    0.1%  __pthread_rwlock_unlock@GLIBC_2.2.5
      2    0.0%    0.1%  __clock_gettime@@GLIBC_PRIVATE
      2    0.0%    0.1%  _IO_do_write@@GLIBC_2.2.5
      2    0.0%    0.1%  _IO_default_xsputn@@GLIBC_2.2.5
      1    0.0%    0.1%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<unsigned long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      1    0.0%    0.1%  std::ostream::put(char)@@GLIBCXX_3.4
      1    0.0%    0.1%  std::ostream::operator<<(int)@@GLIBCXX_3.4
      1    0.0%    0.1%  std::ostream::flush()@@GLIBCXX_3.4
      1    0.0%    0.1%  std::__detail::_List_node_base::_M_hook(std::__detail::_List_node_base*)@@GLIBCXX_3.4.15
      1    0.0%    0.1%  sigemptyset@@GLIBC_2.2.5
      1    0.0%    0.1%  operator new[](unsigned long, std::nothrow_t const&)@@GLIBCXX_3.4
      1    0.0%    0.1%  fstatat@@GLIBC_2.33
      1    0.0%    0.1%  fputc@@GLIBC_2.2.5
      1    0.0%    0.1%  fgets@@GLIBC_2.2.5
      1    0.0%    0.1%  fdopen@@GLIBC_2.2.5
      1    0.0%    0.1%  __sysconf@@GLIBC_2.2.5
      1    0.0%    0.1%  __pthread_rwlock_wrlock@GLIBC_2.2.5
      1    0.0%    0.1%  __pthread_getspecific@GLIBC_2.2.5
      1    0.0%    0.1%  __lll_lock_wake_private@@GLIBC_PRIVATE
      1    0.0%    0.1%  _IO_file_sync@@GLIBC_2.2.5
      1    0.0%    0.1%  _IO_file_seekoff@@GLIBC_2.2.5

 [Summary]:
   ticks  total  nonlib   name
    506    7.0%   31.4%  JavaScript
   1100   15.2%   68.3%  C++
    224    3.1%   13.9%  GC
   5637   77.8%          Shared libraries
      5    0.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    258   29.4%    3.6%  __write@@GLIBC_2.2.5
