Statistical profiling result from result_con_console-v8.log, (8335 ticks, 16 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      7    0.1%    0.4%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      7    0.1%    0.4%  operator new(unsigned long)@@GLIBCXX_3.4
      6    0.1%    0.3%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      6    0.1%    0.3%  std::locale::id::_M_id() const@@GLIBCXX_3.4
      6    0.1%    0.3%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      5    0.1%    0.3%  writev@@GLIBC_2.2.5
      5    0.1%    0.3%  __pthread_rwlock_unlock@GLIBC_2.2.5
      5    0.1%    0.3%  __pthread_mutex_lock@GLIBC_2.2.5
      5    0.1%    0.3%  __mmap@@GLIBC_PRIVATE
      4    0.0%    0.2%  fputc@@GLIBC_2.2.5
      3    0.0%    0.2%  std::ostream::operator<<(int)@@GLIBCXX_3.4
      3    0.0%    0.2%  operator delete[](void*)@@GLIBCXX_3.4
      3    0.0%    0.2%  fstatat@@GLIBC_2.33
      3    0.0%    0.2%  __errno_location@@GLIBC_2.2.5
      2    0.0%    0.1%  std::ostream& std::ostream::_M_insert<unsigned long>(unsigned long)@@GLIBCXX_3.4.9
      2    0.0%    0.1%  operator new[](unsigned long)@@GLIBCXX_3.4
      2    0.0%    0.1%  fmod@@GLIBC_2.2.5
      2    0.0%    0.1%  fgets@@GLIBC_2.2.5
      2    0.0%    0.1%  fflush@@GLIBC_2.2.5
      2    0.0%    0.1%  __sysconf@@GLIBC_2.2.5
      2    0.0%    0.1%  __pthread_once@GLIBC_2.2.5
      2    0.0%    0.1%  __close_nocancel@@GLIBC_PRIVATE
      2    0.0%    0.1%  __clock_gettime@@GLIBC_PRIVATE
      2    0.0%    0.1%  _IO_sputbackc@@GLIBC_2.2.5
      2    0.0%    0.1%  _IO_setb@@GLIBC_2.2.5
      2    0.0%    0.1%  _IO_file_underflow@@GLIBC_2.2.5
      1    0.0%    0.1%  std::ostream::put(char)@@GLIBCXX_3.4
